Entity,Code,Year,Annual CO₂ emissions
Kazakhstan,KAZ,2012,245262910
Kazakhstan,KAZ,2013,253532740
Kazakhstan,KAZ,2014,299137340
Kazakhstan,KAZ,2015,303052300
Kazakhstan,KAZ,2016,301738800
Kazakhstan,KAZ,2017,317720420
Kazakhstan,KAZ,2018,329572130
Kazakhstan,KAZ,2019,296039600
Kazakhstan,KAZ,2020,281789200
Kazakhstan,KAZ,2021,244903710
Kazakhstan,KAZ,2022,274345570
Kazakhstan,KAZ,2023,286174900
Kazakhstan,KAZ,2024,287005950
